ID_do_caso,especie,data_ a_coleta,estacao,abundancia,municipio,Sexo,zona_nao urbana_urbana,estagios_de_decomposicao,indoor_outdoor,recolonizacao,temp_media_da_data_do_encontro,temp_med_7_dias_da_data_do_encontro,umidade_media_da_data_do_encontro,umd_med_7_dias_da_data_do_encontro,chuva_acumulada_em_24h,chuva_acumulada_7_dias,Estacao_Met_Aut,estacao
Caso 1,C. albiceps,26/01/2021,chuvosa,6,Aparecida do Rio Negro,MASCULINO,nao urbana,gasoso,,N,26.7,26.89,75.1,72.33,8.2,16.8,Palmas,chuvosa
Caso 1,C. putoria,26/01/2021,chuvosa,1,Aparecida do Rio Negro,MASCULINO,nao urbana,gasoso,,N,26.7,26.89,75.1,72.33,8.2,16.8,Palmas,chuvosa
Caso 1,H. illucens,26/01/2021,chuvosa,3,Aparecida do Rio Negro,MASCULINO,nao urbana,gasoso,,N,26.7,26.89,75.1,72.33,8.2,16.8,Palmas,chuvosa
Caso 1,Peckia lambens,26/01/2021,chuvosa,1,Aparecida do Rio Negro,MASCULINO,nao urbana,gasoso,,N,26.7,26.89,75.1,72.33,8.2,16.8,Palmas,chuvosa
Caso 1,P. trivittata,26/01/2021,chuvosa,4,Aparecida do Rio Negro,MASCULINO,nao urbana,gasoso,,N,26.7,26.89,75.1,72.33,8.2,16.8,Palmas,chuvosa
Caso 2,C. albiceps,18/02/2021,chuvosa,12,Porto Alegre do Tocantins,MASCULINO,nao urbana,gasoso,,N,24.2,24.59,84.3,80.84,6,84.4,Paran�,chuvosa
Caso 2,C. megacephala,18/02/2021,chuvosa,14,Porto Alegre do Tocantins,MASCULINO,nao urbana,gasoso,,N,24.2,24.59,84.3,80.84,6,84.4,Paran�,chuvosa
Caso 2,C. putoria,18/02/2021,chuvosa,1,Porto Alegre do Tocantins,MASCULINO,nao urbana,gasoso,,N,24.2,24.59,84.3,80.84,6,84.4,Paran�,chuvosa
Caso 2,H. segmentaria,18/02/2021,chuvosa,1,Porto Alegre do Tocantins,MASCULINO,nao urbana,gasoso,,N,24.2,24.59,84.3,80.84,6,84.4,Paran�,chuvosa
Caso 3,Peckia chrysostoma,18/02/2021,chuvosa,2,Pedro Afonso,MASCULINO,nao urbana,coliquativo,,N,24.6,25.61,88.5,83,5.4,25.8,Pedro afonso,chuvosa
Caso 3,Retrocitomyia mizuguchiana,18/02/2021,chuvosa,21,Pedro Afonso,MASCULINO,nao urbana,coliquativo,,N,24.6,25.61,88.5,83,5.4,25.8,Pedro afonso,chuvosa
Caso 4,C. albiceps,14/03/2021,chuvosa,37,Miranorte,MASCULINO,urbana,fresco,,N,26.3,25.67,80.4,84.71,0.8,60.28,Rio Sono,chuvosa
Caso 4,C. megacephala,14/03/2021,chuvosa,94,Miranorte,MASCULINO,urbana,fresco,,N,26.3,25.67,80.4,84.71,0.8,60.28,Rio Sono,chuvosa
Caso 4,H. aenescens,14/03/2021,chuvosa,2,Miranorte,MASCULINO,urbana,fresco,,N,26.3,25.67,80.4,84.71,0.8,60.28,Rio Sono,chuvosa
Caso 4,Peckia chrysostoma,14/03/2021,chuvosa,4,Miranorte,MASCULINO,urbana,fresco,,N,26.3,25.67,80.4,84.71,0.8,60.28,Rio Sono,chuvosa
Caso 4,Retrocitomyia mizuguchiana,14/03/2021,chuvosa,1,Miranorte,MASCULINO,urbana,fresco,,N,26.3,25.67,80.4,84.71,0.8,60.28,Rio Sono,chuvosa
Caso 5,C. megacephala,21/03/2021,chuvosa,33,Pedro Afonso,MASCULINO,urbana,coliquativo,,N,26.8,25.94,76.2,81.43,7.8,59.4,Pedro afonso,chuvosa
Caso 5,Peckia chrysostoma,21/03/2021,chuvosa,5,Pedro Afonso,MASCULINO,urbana,coliquativo,,N,26.8,25.94,76.2,81.43,7.8,59.4,Pedro afonso,chuvosa
Caso 5,Retrocitomyia mizuguchiana,21/03/2021,chuvosa,4,Pedro Afonso,MASCULINO,urbana,coliquativo,,N,26.8,25.94,76.2,81.43,7.8,59.4,Pedro afonso,chuvosa
Caso 6,C. albiceps,01/04/2021,seca,34,Taguatinga,MASCULINO,urbana,coliquativo,,N,24.7,25.44,79.7,71.77,0,0,Dian�polis,seca
Caso 6,C. megacephala,01/04/2021,seca,37,Taguatinga,MASCULINO,urbana,coliquativo,,N,24.7,25.44,79.7,71.77,0,0,Dian�polis,seca
Caso 6,C. putoria,01/04/2021,seca,1,Taguatinga,MASCULINO,urbana,coliquativo,,N,24.7,25.44,79.7,71.77,0,0,Dian�polis,seca
Caso 6,C. macellaria,01/04/2021,seca,1,Taguatinga,MASCULINO,urbana,coliquativo,,N,24.7,25.44,79.7,71.77,0,0,Dian�polis,seca
Caso 6,H. segmentaria,01/04/2021,seca,18,Taguatinga,MASCULINO,urbana,coliquativo,,N,24.7,25.44,79.7,71.77,0,0,Dian�polis,seca
Caso 6,Peckia chrysostoma,01/04/2021,seca,4,Taguatinga,MASCULINO,urbana,coliquativo,,N,24.7,25.44,79.7,71.77,0,0,Dian�polis,seca
Caso 6,Peckia intermutans,01/04/2021,seca,1,Taguatinga,MASCULINO,urbana,coliquativo,,N,24.7,25.44,79.7,71.77,0,0,Dian�polis,seca
Caso 7,C. megacephala,10/04/2021,seca,248,Miracema do Tocantins,MASCULINO,nao urbana,carbonizado,,N,28.3,27.83,63.8,69.44,0,5.6,Palmas,seca
Caso 7,Peckia chrysostoma,10/04/2021,seca,10,Miracema do Tocantins,MASCULINO,nao urbana,carbonizado,,N,28.3,27.83,63.8,69.44,0,5.6,Palmas,seca
Caso 8,C. albiceps,19/05/2021,seca,110,Palmas,MASCULINO,nao urbana,gasoso,,N,27.1,27.3,58,63.31,0,0.2,Palmas,seca
Caso 8,H. segmentaria,19/05/2021,seca,3,Palmas,MASCULINO,nao urbana,gasoso,,N,27.1,27.3,58,63.31,0,0.2,Palmas,seca
Caso 9,C. albiceps,19/05/2021,seca,91,Peixe,MASCULINO,urbana,gasoso,,N,25.2,25.41,64.7,64.11,0,0,Formoso do Araguaia,seca
Caso 9,C. megacephala,19/05/2021,seca,11,Peixe,MASCULINO,urbana,gasoso,,N,25.2,25.41,64.7,64.11,0,0,Formoso do Araguaia,seca
Caso 9,H. aenescens,19/05/2021,seca,1,Peixe,MASCULINO,urbana,gasoso,,N,25.2,25.41,64.7,64.11,0,0,Formoso do Araguaia,seca
Caso 9,Peckia intermutans,19/05/2021,seca,2,Peixe,MASCULINO,urbana,gasoso,,N,25.2,25.41,64.7,64.11,0,0,Formoso do Araguaia,seca
Caso 10,C. albiceps,01/06/2021,seca,161,Caseara,MASCULINO,urbana,gasoso,,N,26.1,26.17,65.3,66.37,0,0,Marian�polis,seca
