caso,id,data_encontro,data_coleta,mun
Caso 1,01.01.0036/2021,26/01/2021,26/01/2021,APARECIDA DO RIO NEGRO
Caso 2,01.01.0055/2021,17/02/2021,18/02/2021,PORTO ALEGRE DO TOCANTINS
Caso 3,01.01.0057/2021,17/02/2021,18/02/2021,PEDRO AFONSO
Caso 4,01.01.0082/2021,14/03/2021,14/03/2021,MIRANORTE
Caso 5,01.01.0089/2021,21/03/2021,21/03/2021,PEDRO AFONSO
Caso 6,01.01.0106/2021,01/04/2021,01/04/2021,TAGUATINGA
Caso 7,01.01.0116/2021,09/04/2021,10/04/2021,MIRACEMA DO TOCANTINS
Caso 8,01.01.0165/2021,14/05/2021,19/05/2021,PALMAS
Caso 9,01.01.0172/2021,19/05/2021,19/05/2021,PEIXE
Caso 10,01.01.0184/2021,31/05/2021,01/06/2021,CASEARA
Caso 11,2915/2021 (193/2021),07/06/2021,07/06/2021,DIANÓPOLIS
Caso 12,3169/2021,09/06/2021,10/06/2021,PORTO NACIONAL
Caso 13,3171/2021,09/06/2021,10/06/2021,PORTO NACIONAL
Caso 14,3333/2021,11/06/2021,11/06/2021,NATIVIDADE
Caso 15,8041/2021,30/07/2021,31/07/2021,BOM JESUS DO TOCANTINS
Caso 16,9327/2021,13/08/2021,14/08/2021,DUERÉ
Caso 17,9758/2021,18/08/2021,19/08/2021,NOVO ALEGRE
Caso 18,10009/2021,20/08/2021,22/08/2021,LAGOA DA CONFUSÃO
Caso 19,11093/2021,31/08/2021,02/09/2021,TAGUATINGA
Caso 20,14736/2021,10/10/2021,14/10/2021,NOVO ALEGRE
Caso 21,17221/2021,05/11/2021,06/11/2021,PALMAS
Caso 22,17815/2021,12/11/2021,13/11/2021,PALMAS
Caso 23,18431/2021,19/11/2021,20/11/2021,GURUPI
Caso 24,18661/2021,22/11/2021,24/11/2021,ALVORADA
Caso 25,18716/2021,23/11/2021,25/11/2021,PALMAS
Caso 26,19748/2021,02/12/2021,03/12/2021,MIRACEMA DO TOCANTINS
Caso 27,19784/2021,02/12/2021,04/12/2021,PALMAS
Caso 28,21680/2021,21/12/2021,28/12/2021,PORTO NACIONAL
Caso 29,21778/2021,23/12/2021,28/12/2021,PORTO NACIONAL
Caso 30,22873/2022,07/01/2022,08/01/2022,ALMAS
Caso 31,22907/2022,08/01/2022,08/01/2022,MIRACEMA DO TOCANTINS
Caso 32,23423/2022,13/01/2022,17/01/2022,PALMAS
Caso 33,25826/2022,12/02/2022,13/02/2022,BARROLÂNDIA
Caso 34,25902/2022,13/02/2022,14/02/2022,DIANÓPOLIS
Caso 35,25903/2022,13/02/2022,14/02/2022,DIANÓPOLIS
Caso 36,,,4/24/2021,PALMAS
Caso 37,,,6/11/2021,PALMAS
Caso 38,,,1/8/2022,PALMAS
Caso 39,,,1/17/2022,PALMAS
Caso 40,,,2/13/2022,PALMAS
